Date,Open,High,Low,Close,Percent_Change
2020-11-02,81.41,83.04,80.8,81.3,-0.13
2020-11-03,81.59,83.08,80.83,82.51,1.13
2020-11-04,85.51,88.57,85.3,87.46,2.27
2020-11-05,89.05,89.68,87.53,88.17,-0.99
2020-11-06,87.7,88.62,87.02,88.09,0.44
2020-11-09,89.54,90.9,88.0,88.15,-1.56
2020-11-10,86.55,88.15,85.86,87.02,0.54
2020-11-11,87.5,88.21,87.37,87.64,0.15
2020-11-12,87.38,88.41,87.28,87.49,0.13
2020-11-13,87.88,89.05,87.23,88.85,1.1
2020-11-16,88.58,89.95,88.38,89.07,0.55
2020-11-17,88.85,89.25,88.35,88.51,-0.38
2020-11-18,88.26,88.67,87.31,87.34,-1.05
2020-11-19,86.92,88.48,86.85,88.2,1.47
2020-11-20,88.26,88.7,87.09,87.11,-1.3
2020-11-23,87.48,87.7,85.89,86.74,-0.84
2020-11-24,86.53,88.58,86.38,88.44,2.22
2020-11-25,88.64,88.93,87.83,88.57,-0.08
2020-11-27,88.65,90.2,88.62,89.66,1.13
2020-11-30,89.06,89.4,87.75,88.04,-1.15
2020-12-01,88.72,91.24,88.47,89.9,1.34
2020-12-02,89.9,91.78,89.47,91.4,1.66
2020-12-03,91.2,92.36,91.13,91.34,0.15
2020-12-04,91.23,91.66,90.85,91.4,0.19
2020-12-07,90.95,91.62,90.29,90.97,0.03
2020-12-08,90.5,91.1,89.81,90.93,0.47
2020-12-09,90.6,91.71,88.39,89.21,-1.54
2020-12-10,88.49,89.07,87.02,88.77,0.31
2020-12-11,88.15,89.22,88.0,89.09,1.06
2020-12-14,88.75,89.87,87.86,88.0,-0.84
2020-12-15,88.22,88.57,87.5,88.39,0.19
2020-12-16,88.64,88.65,87.8,88.15,-0.56
2020-12-17,88.43,88.59,86.93,87.39,-1.17
2020-12-18,87.71,87.76,86.01,86.55,-1.32
2020-12-21,85.68,87.04,84.95,86.97,1.51
2020-12-22,86.72,86.87,85.63,86.18,-0.63
2020-12-23,86.41,87.4,86.25,86.62,0.25
2020-12-24,86.75,87.3,86.46,86.94,0.22
2020-12-28,87.58,89.54,87.32,88.8,1.4
2020-12-29,89.39,89.62,87.8,87.94,-1.63
2020-12-30,88.1,88.25,86.28,86.98,-1.28
2020-12-31,86.77,87.95,86.77,87.59,0.95
2021-01-04,87.88,88.03,85.39,86.41,-1.67
2021-01-05,86.25,87.38,85.9,87.05,0.92
2021-01-06,85.13,87.4,84.95,86.76,1.92
2021-01-07,87.0,89.42,86.85,89.36,2.71
2021-01-08,89.4,90.49,88.68,90.36,1.08
2021-01-11,89.3,89.72,88.03,88.34,-1.08
2021-01-12,87.7,88.9,86.27,87.33,-0.42
2021-01-13,86.93,88.25,86.9,87.72,0.91
2021-01-14,87.68,88.75,86.67,87.01,-0.77
2021-01-15,86.91,87.8,86.08,86.81,-0.12
2021-01-19,87.61,90.46,87.07,89.54,2.2
2021-01-20,91.57,95.19,91.28,94.35,3.03
2021-01-21,94.9,96.74,94.36,94.56,-0.36
2021-01-22,94.78,95.55,94.09,95.05,0.28
2021-01-25,96.03,96.48,93.38,94.97,-1.11
2021-01-26,94.44,96.25,94.21,95.86,1.5
2021-01-27,94.13,94.5,90.45,91.54,-2.75
2021-01-28,92.2,94.94,92.13,93.16,1.04
2021-01-29,92.31,92.86,90.51,91.79,-0.56
2021-02-01,92.68,96.12,92.55,95.07,2.58
2021-02-02,96.13,97.79,95.72,96.38,0.26
2021-02-03,103.65,105.82,100.92,103.5,-0.14
2021-02-04,103.44,103.93,102.13,103.12,-0.32
2021-02-05,103.5,105.13,102.97,104.9,1.35
2021-02-08,105.3,106.18,103.6,104.65,-0.62
2021-02-09,103.93,105.26,103.93,104.18,0.24
2021-02-10,104.71,105.42,103.15,104.77,0.06
2021-02-11,104.98,105.1,103.87,104.79,-0.17
2021-02-12,104.51,105.44,104.16,105.21,0.66
2021-02-16,105.22,107.63,105.22,106.1,0.83
2021-02-17,105.0,106.68,104.95,106.42,1.35
2021-02-18,105.52,106.64,105.19,105.86,0.32
